Id,Title,Category,Interaction,Priority,State,Description,Justification,NIST Controls
224,Spoofing of Destination Data Store PostgreSQL Database,Spoofing,Service->DB,Low,Mitigated,PostgreSQL Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of PostgreSQL Database. Consider using a standard authentication mechanism to identify the destination data store.,Autenticazione con privilegi bassi.,IA-2 Identification and Authentication|AC-3 Access Enforcement|SC-8 Transmission Confidentiality and Integrity
1,Potential SQL Injection Vulnerability for PostgreSQL Database,Tampering,Service->DB,Medium,Mitigated,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,"Sanificato input per ogni FILENAME.
Username non controllato dall'utente ma dall'amministratore di sistema.",SI-10 Information Input Validation|SC-7 Boundary Protection|AC-4 Information Flow Enforcement
2,Potential Excessive Resource Consumption for PostgreSQL Service or PostgreSQL Database,Denial Of Service,Service->DB,Low,Not Applicable,"Does PostgreSQL Service or PostgreSQL Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",Applicazione deployata su localhost.,SC-5 Denial of Service Protection|CP-2 Contingency Plan
3,Spoofing of Source Data Store PostgreSQL Database,Spoofing,DB->Service,Low,Not Applicable,PostgreSQL Database may be spoofed by an attacker and this may lead to incorrect data delivered to PostgreSQL Service. Consider using a standard authentication mechanism to identify the source data store.,"PostgreSQL Service e PostgreSQL Database vivono nello stesso contesto e sulla stessa macchina. La comunicazione è in localhost.
L'attaccante non può fare spoofing su un'altra interfaccia di loopback, ce n'è una sola.",IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
4,Weak Access Control for a Resource,Information Disclosure,DB->Service,High,Mitigated,Improper data protection of PostgreSQL Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,Ruolo con bassi privilegi sul DB per controllare i documenti.,AC-3 Access Enforcement|AC-6 Least Privilege|AC-2 Account Management
42,Cross Site Scripting,Tampering,HTTPS Browser->Flask,Low,Not Applicable,The web server 'Flask Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,SI-10 Information Input Validation|SC-7 Boundary Protection
16,Weak Access Control for a Resource,Information Disclosure,Vault Config,High,Mitigated,Improper data protection of Config: setup_vault.sh can allow an attacker to read information not intended for disclosure. Review authorization settings.,File di configurazione protetto crittograficamente da password mediante KeySecurityManager.,AC-3 Access Enforcement|SC-13 Cryptographic Protection
15,Spoofing of Source Data Store Config: setup_vault.sh,Spoofing,Vault Config,Low,Not Applicable,Config: setup_vault.sh may be spoofed by an attacker and this may lead to incorrect data delivered to Hashicorp Vault. Consider using a standard authentication mechanism to identify the source data store.,File utilizzato per mettere in piedi l'infrastruttura. Non fa data delivery a runtime.,CM-5 Access Restrictions for Change|SC-8 Transmission Confidentiality and Integrity
220,Potential Process Crash or Stop for Web Application,Denial Of Service,Keycloak->Browser,Low,Not Applicable,"Web Application crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,SC-5 Denial of Service Protection|SI-7 Software Integrity
219,Data Flow Sniffing,Information Disclosure,Keycloak->Browser,Low,Mitigated,"Data flowing across Generic Data Flow may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Cifratura SSL + deploy su localhost.,SC-8 Transmission Confidentiality and Integrity|SC-13 Cryptographic Protection
